,Fecha,Semana,Provincia,Distrito,Clima,Pluvio_Min,Pluvio_Max,Nubosidad,Presión,Viento_Min,Viento_Max,Temp_Min,Temp_Max,Punto_Rocío
10,2020-01-01,1,CALLAO,BELLAVISTA,Niebla,0.0,0.0,1.0,1012.0,4.0,13.0,19.0,22.0,19.0
11,2020-01-01,1,CALLAO,CALLAO,Niebla,0.0,0.0,1.0,1012.0,4.0,12.0,19.0,22.0,19.0
12,2020-01-01,1,CALLAO,CARMEN DE LA LEGUA REYNOSO,Niebla,0.0,0.0,0.7,1011.0,3.0,12.0,19.0,23.0,19.0
13,2020-01-01,1,CALLAO,LA PERLA,Niebla,0.0,0.0,1.0,1012.0,4.0,13.0,19.0,22.0,19.0
14,2020-01-01,1,CALLAO,LA PUNTA,Niebla,0.0,0.0,0.7,1012.0,5.0,13.0,19.0,22.0,19.0
15,2020-01-01,1,CALLAO,MI PERU,Niebla,0.0,0.0,1.0,1012.0,3.0,10.0,19.0,24.0,18.0
16,2020-01-01,1,CALLAO,VENTANILLA,Despejado,0.0,0.0,0.7,1012.0,4.0,11.0,19.0,23.0,19.0
96,2020-01-01,1,LIMA,ANCON,Niebla,0.0,0.0,0.8,1012.0,3.0,11.0,18.0,24.0,17.0
97,2020-01-01,1,LIMA,ATE,Niebla,0.0,0.0,0.9,1015.0,4.0,13.0,18.0,24.0,19.0
98,2020-01-01,1,LIMA,BARRANCO,Niebla,0.0,0.0,0.8,1012.0,4.0,12.0,19.0,23.0,19.0
99,2020-01-01,1,LIMA,BREÑA,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,24.0,18.0
100,2020-01-01,1,LIMA,CARABAYLLO,Niebla,0.0,0.0,0.9,1016.0,2.0,7.0,19.0,25.0,17.0
101,2020-01-01,1,LIMA,CHACLACAYO,Niebla,0.0,0.0,1.0,1013.0,6.0,11.0,17.75,22.0,18.0
102,2020-01-01,1,LIMA,CHORRILLOS,Niebla,0.0,0.0,1.0,1013.0,4.0,12.0,19.0,22.0,19.0
103,2020-01-01,1,LIMA,CIENEGUILLA,Niebla,0.0,0.0,1.0,1014.0,5.0,11.0,18.0,24.0,18.0
104,2020-01-01,1,LIMA,COMAS,Niebla,0.0,0.0,0.7,1014.0,3.0,10.0,19.0,25.0,18.0
105,2020-01-01,1,LIMA,EL AGUSTINO,Niebla,0.0,0.0,0.9,1014.0,2.0,11.0,19.0,25.0,19.0
106,2020-01-01,1,LIMA,INDEPENDENCIA,Niebla,0.0,0.0,0.9,1011.0,3.0,11.0,19.0,24.0,18.0
107,2020-01-01,1,LIMA,JESUS MARIA,Niebla,0.0,0.0,,,3.0,12.0,19.0,23.0,18.0
108,2020-01-01,1,LIMA,LA MOLINA,Niebla,0.0,0.0,1.0,1012.0,3.0,12.0,19.0,24.0,18.0
109,2020-01-01,1,LIMA,LA VICTORIA,Niebla,0.0,0.0,,1011.0,2.0,12.0,19.0,24.0,18.0
110,2020-01-01,1,LIMA,LIMA,Niebla,0.0,0.0,0.7,1011.0,3.0,12.0,19.0,24.0,18.0
111,2020-01-01,1,LIMA,LINCE,Niebla,0.0,0.0,1.0,1013.0,3.0,12.0,19.0,23.0,19.0
112,2020-01-01,1,LIMA,LOS OLIVOS,Despejado,0.0,0.0,0.7,1012.0,3.0,11.0,19.0,24.0,18.0
113,2020-01-01,1,LIMA,LURIGANCHO,Niebla,0.0,0.0,,1016.0,6.0,12.0,17.0,22.0,19.0
114,2020-01-01,1,LIMA,LURIN,Niebla,0.0,0.0,0.9,1015.0,4.0,11.0,19.0,24.0,19.0
115,2020-01-01,1,LIMA,MAGDALENA DEL MAR,Niebla,0.0,0.0,,1012.0,4.0,12.0,19.0,23.0,19.0
116,2020-01-01,1,LIMA,MIRAFLORES,Despejado,0.0,0.0,1.0,1013.0,3.0,12.0,19.0,23.0,19.0
117,2020-01-01,1,LIMA,PACHACAMAC,Niebla,0.0,0.0,0.9,1015.0,4.0,11.0,19.0,24.0,17.0
118,2020-01-01,1,LIMA,PUCUSANA,Niebla,0.0,0.0,1.0,1013.0,4.0,11.0,19.0,23.0,18.0
119,2020-01-01,1,LIMA,PUEBLO LIBRE,Niebla,0.0,0.0,0.9,1014.0,3.0,12.0,19.0,23.0,19.0
120,2020-01-01,1,LIMA,PUENTE PIEDRA,Despejado,0.0,0.0,,1013.0,3.0,10.0,19.0,24.0,18.0
121,2020-01-01,1,LIMA,PUNTA HERMOSA,Niebla,0.0,0.0,0.8,1015.0,3.0,10.0,20.0,25.0,19.0
122,2020-01-01,1,LIMA,PUNTA NEGRA,Niebla,0.0,0.1,1.0,1012.0,4.0,9.0,19.0,24.0,18.0
123,2020-01-01,1,LIMA,RIMAC,Niebla,0.0,0.0,0.7,1011.0,2.0,11.0,19.0,25.0,19.0
124,2020-01-01,1,LIMA,SAN BARTOLO,Niebla,0.0,0.0,0.8,1013.0,4.0,10.0,19.0,24.0,18.0
125,2020-01-01,1,LIMA,SAN BORJA,Niebla,0.0,0.0,0.9,1014.0,3.0,11.0,19.0,24.0,19.0
126,2020-01-01,1,LIMA,SAN ISIDRO,Niebla,0.0,0.0,0.7,1013.0,3.0,12.0,19.0,23.0,19.0
127,2020-01-01,1,LIMA,SAN JUAN DE LURIGANCHO,Niebla,0.0,0.0,1.0,1011.0,2.0,11.0,19.0,25.0,16.0
128,2020-01-01,1,LIMA,SAN JUAN DE MIRAFLORES,Niebla,0.0,0.0,1.0,1011.0,3.0,12.0,19.0,23.0,19.0
129,2020-01-01,1,LIMA,SAN LUIS,Niebla,0.0,0.0,0.6,1013.0,2.0,11.0,22.0,25.0,18.0
130,2020-01-01,1,LIMA,SAN MARTIN DE PORRES,Despejado,0.0,0.0,0.7,1012.0,3.0,12.0,19.0,23.0,19.0
131,2020-01-01,1,LIMA,SAN MIGUEL,Niebla,0.0,0.0,0.7,1012.0,4.0,13.0,19.0,23.0,19.0
132,2020-01-01,1,LIMA,SANTA ANITA,Niebla,0.0,0.0,0.8,1011.0,2.0,12.0,19.0,25.0,18.0
133,2020-01-01,1,LIMA,SANTA MARIA DEL MAR,Niebla,0.0,0.0,0.7,1014.0,4.0,11.0,19.0,24.0,18.0
134,2020-01-01,1,LIMA,SANTA ROSA,Niebla,0.0,0.0,0.5,1014.0,3.0,10.0,19.0,24.0,19.0
135,2020-01-01,1,LIMA,SANTIAGO DE SURCO,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,23.0,18.0
136,2020-01-01,1,LIMA,SURQUILLO,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,24.0,18.0
137,2020-01-01,1,LIMA,VILLA EL SALVADOR,Niebla,0.0,0.0,0.9,1013.0,4.0,12.0,19.0,22.0,18.0
138,2020-01-01,1,LIMA,VILLA MARIA DEL TRIUNFO,Niebla,0.0,0.0,0.7,1014.0,3.0,12.0,19.0,23.0,19.0
188,2020-01-08,2,CALLAO,BELLAVISTA,Despejado,0.0,0.0,0.7,1013.0,8.0,16.0,19.0,21.0,19.0
189,2020-01-08,2,CALLAO,CALLAO,Despejado,0.0,0.0,0.7,1013.0,7.0,16.0,20.0,21.0,19.0
190,2020-01-08,2,CALLAO,CARMEN DE LA LEGUA REYNOSO,Despejado,0.0,0.0,0.6,1013.0,6.0,16.0,20.0,22.0,19.0
191,2020-01-08,2,CALLAO,LA PERLA,Despejado,0.0,0.0,0.6,1013.0,8.0,16.0,20.0,21.0,19.0
192,2020-01-08,2,CALLAO,LA PUNTA,Despejado,0.0,0.0,0.2,1013.0,9.0,16.0,20.0,21.0,18.0
193,2020-01-08,2,CALLAO,MI PERU,Despejado,0.0,0.0,0.3,1015.0,6.0,16.0,19.0,24.0,18.0
194,2020-01-08,2,CALLAO,VENTANILLA,Despejado,0.0,0.0,0.5,1012.0,6.0,17.0,20.0,22.0,19.0
274,2020-01-08,2,LIMA,ANCON,Niebla,0.0,0.0,0.5,1013.0,5.0,15.0,18.0,25.0,17.0
275,2020-01-08,2,LIMA,ATE,Niebla,0.0,0.0,0.9,1015.0,4.0,15.0,17.0,24.0,17.0
276,2020-01-08,2,LIMA,BARRANCO,Despejado,0.0,0.0,0.7,1013.0,6.0,14.0,20.0,24.0,19.0
277,2020-01-08,2,LIMA,BREÑA,Niebla,0.0,0.0,,1014.0,5.0,14.0,19.0,24.0,18.0
278,2020-01-08,2,LIMA,CARABAYLLO,Despejado,0.0,0.0,0.7,1015.0,4.0,15.0,18.0,25.0,18.0
279,2020-01-08,2,LIMA,CHACLACAYO,Niebla,0.0,0.0,0.8,1014.0,4.0,16.0,16.0,23.0,18.0
280,2020-01-08,2,LIMA,CHORRILLOS,Despejado,0.0,0.0,0.8,1014.0,7.0,14.0,21.0,23.0,19.0
281,2020-01-08,2,LIMA,CIENEGUILLA,Niebla,0.0,0.0,0.8,1014.0,3.0,14.0,16.0,24.0,17.0
282,2020-01-08,2,LIMA,COMAS,Despejado,0.0,0.0,0.3,1016.0,4.0,14.0,19.0,25.0,19.0
283,2020-01-08,2,LIMA,EL AGUSTINO,Niebla,0.0,0.0,1.0,1014.0,2.0,13.0,18.0,26.0,18.0
284,2020-01-08,2,LIMA,INDEPENDENCIA,Despejado,0.0,0.0,0.8,1012.0,4.0,15.0,19.0,24.0,18.0
285,2020-01-08,2,LIMA,JESUS MARIA,Niebla,0.0,0.0,,,5.0,14.0,19.0,24.0,18.0
286,2020-01-08,2,LIMA,LA MOLINA,Niebla,0.0,0.0,1.0,1014.0,4.0,14.0,18.0,24.0,18.0
287,2020-01-08,2,LIMA,LA VICTORIA,Niebla,0.0,0.0,,1012.0,3.0,14.0,19.5,25.0,18.0
288,2020-01-08,2,LIMA,LIMA,Niebla,0.0,0.0,0.6,1012.0,4.0,14.0,19.0,24.0,17.0
289,2020-01-08,2,LIMA,LINCE,Niebla,0.0,0.0,0.8,1014.0,5.0,14.0,20.0,24.0,19.0
290,2020-01-08,2,LIMA,LOS OLIVOS,Despejado,0.0,0.0,0.5,1013.0,5.0,16.0,19.0,23.0,17.0
291,2020-01-08,2,LIMA,LURIGANCHO,Niebla,0.0,0.0,,1015.0,4.0,17.0,17.0,23.0,18.0
292,2020-01-08,2,LIMA,LURIN,Niebla,0.0,0.0,0.8,1015.0,5.0,13.0,19.0,23.0,18.0
293,2020-01-08,2,LIMA,MAGDALENA DEL MAR,Despejado,0.0,0.0,,1013.0,6.0,15.0,19.0,23.0,18.0
294,2020-01-08,2,LIMA,MIRAFLORES,Despejado,0.0,0.0,0.8,1014.0,5.0,14.0,20.0,24.0,20.0
295,2020-01-08,2,LIMA,PACHACAMAC,Niebla,0.0,0.0,0.9,1015.0,5.0,14.0,19.0,24.0,18.0
296,2020-01-08,2,LIMA,PUCUSANA,Niebla,0.0,0.0,0.6,1016.0,5.0,12.0,20.0,23.0,19.0
297,2020-01-08,2,LIMA,PUEBLO LIBRE,Despejado,0.0,0.0,0.7,1014.0,6.0,15.0,19.0,23.0,19.0
298,2020-01-08,2,LIMA,PUENTE PIEDRA,Despejado,0.0,0.0,,1014.0,5.0,16.0,19.0,24.0,18.0
299,2020-01-08,2,LIMA,PUNTA HERMOSA,Niebla,0.0,0.0,0.7,1015.0,4.0,12.0,19.0,24.0,18.0
300,2020-01-08,2,LIMA,PUNTA NEGRA,Niebla,0.0,0.0,0.6,1014.0,4.0,11.0,18.0,24.0,17.0
301,2020-01-08,2,LIMA,RIMAC,Niebla,0.0,0.0,0.5,1014.0,3.0,14.0,19.0,25.0,17.0
302,2020-01-08,2,LIMA,SAN BARTOLO,Niebla,0.0,0.0,0.7,1014.0,4.0,12.0,19.0,24.0,17.0
303,2020-01-08,2,LIMA,SAN BORJA,Niebla,0.0,0.0,0.9,1014.0,3.0,14.0,19.0,25.0,19.0
304,2020-01-08,2,LIMA,SAN ISIDRO,Niebla,0.0,0.0,0.6,1014.0,5.0,14.0,19.0,24.0,19.0
305,2020-01-08,2,LIMA,SAN JUAN DE LURIGANCHO,Despejado,0.0,0.0,0.9,1014.0,3.0,13.0,19.0,27.0,17.0
306,2020-01-08,2,LIMA,SAN JUAN DE MIRAFLORES,Despejado,0.0,0.0,0.9,1014.0,6.0,14.0,21.0,24.0,19.0
307,2020-01-08,2,LIMA,SAN LUIS,Niebla,0.0,0.0,0.5,1014.0,2.0,14.0,22.0,26.0,18.0
308,2020-01-08,2,LIMA,SAN MARTIN DE PORRES,Despejado,0.0,0.0,0.5,1013.0,6.0,16.0,20.0,22.0,18.0
309,2020-01-08,2,LIMA,SAN MIGUEL,Despejado,0.0,0.0,0.5,1013.0,7.0,15.0,20.0,22.0,19.0
310,2020-01-08,2,LIMA,SANTA ANITA,Niebla,0.0,0.0,0.7,1014.0,2.0,14.0,18.0,26.0,17.0
311,2020-01-08,2,LIMA,SANTA MARIA DEL MAR,Niebla,0.0,0.0,0.6,1015.0,4.0,12.0,19.0,24.0,20.0
312,2020-01-08,2,LIMA,SANTA ROSA,Despejado,0.0,0.0,0.3,1014.0,7.0,15.0,19.0,24.0,19.0
313,2020-01-08,2,LIMA,SANTIAGO DE SURCO,Despejado,0.0,0.0,,1014.0,5.0,14.0,20.0,24.0,18.0
314,2020-01-08,2,LIMA,SURQUILLO,Niebla,0.0,0.0,,1014.0,4.0,14.0,20.5,25.0,20.0
315,2020-01-08,2,LIMA,VILLA EL SALVADOR,Despejado,0.0,0.0,0.8,1014.0,6.0,14.0,21.0,22.0,18.0
316,2020-01-08,2,LIMA,VILLA MARIA DEL TRIUNFO,Niebla,0.0,0.0,0.7,1015.0,6.0,15.0,20.0,23.0,17.0
366,2020-01-15,3,CALLAO,BELLAVISTA,,,,,1010.0,5.0,10.0,,,
367,2020-01-15,3,CALLAO,CALLAO,,,,,1009.0,5.0,10.0,,,
368,2020-01-15,3,CALLAO,CARMEN DE LA LEGUA REYNOSO,,,,,1009.0,5.0,11.0,,,
369,2020-01-15,3,CALLAO,LA PERLA,,,,,1010.0,4.0,10.0,,,
370,2020-01-15,3,CALLAO,LA PUNTA,,,,,1009.0,4.0,10.0,,,
371,2020-01-15,3,CALLAO,MI PERU,,,,,1010.0,4.0,9.0,,,
372,2020-01-15,3,CALLAO,VENTANILLA,,,,,1010.0,5.0,10.0,,,
452,2020-01-15,3,LIMA,ANCON,,,,,1009.0,3.0,12.0,,,
453,2020-01-15,3,LIMA,ATE,,,,,1012.0,5.0,14.0,,,
454,2020-01-15,3,LIMA,BARRANCO,,,,,1009.0,4.0,12.0,,,
455,2020-01-15,3,LIMA,BREÑA,,,,,1010.0,4.0,12.0,,,
456,2020-01-15,3,LIMA,CARABAYLLO,,,,,1011.0,5.0,11.0,,,
457,2020-01-15,3,LIMA,CHACLACAYO,,,,,1010.0,5.0,13.0,,,
458,2020-01-15,3,LIMA,CHORRILLOS,,,,,1010.0,4.0,13.0,,,
459,2020-01-15,3,LIMA,CIENEGUILLA,,,,,1011.0,4.0,12.0,,,
460,2020-01-15,3,LIMA,COMAS,,,,,1012.0,5.0,12.0,,,
461,2020-01-15,3,LIMA,EL AGUSTINO,,,,,1011.0,4.0,13.0,,,
462,2020-01-15,3,LIMA,INDEPENDENCIA,,,,,1009.0,5.0,12.0,,,
463,2020-01-15,3,LIMA,JESUS MARIA,,,,,,4.0,12.0,,,
464,2020-01-15,3,LIMA,LA MOLINA,,,,,1011.0,4.0,13.0,,,
465,2020-01-15,3,LIMA,LA VICTORIA,,,,,1009.0,3.75,12.0,,,
466,2020-01-15,3,LIMA,LIMA,,,,,1009.0,4.0,12.0,,,
467,2020-01-15,3,LIMA,LINCE,,,,,1010.0,4.0,12.0,,,
468,2020-01-15,3,LIMA,LOS OLIVOS,,,,,1009.0,5.0,11.0,,,
469,2020-01-15,3,LIMA,LURIGANCHO,,,,,1013.0,6.0,14.0,,,
470,2020-01-15,3,LIMA,LURIN,,,,,1013.0,4.0,11.0,,,
471,2020-01-15,3,LIMA,MAGDALENA DEL MAR,,,,,1010.0,4.0,11.0,,,
472,2020-01-15,3,LIMA,MIRAFLORES,,,,,1010.0,4.0,12.0,,,
473,2020-01-15,3,LIMA,PACHACAMAC,,,,,1012.0,4.0,12.0,,,
474,2020-01-15,3,LIMA,PUCUSANA,,,,,1012.0,3.0,10.0,,,
475,2020-01-15,3,LIMA,PUEBLO LIBRE,,,,,1012.0,4.0,11.0,,,
476,2020-01-15,3,LIMA,PUENTE PIEDRA,,,,,1010.0,4.0,10.0,,,
477,2020-01-15,3,LIMA,PUNTA HERMOSA,,,,,1013.0,4.0,10.0,,,
478,2020-01-15,3,LIMA,PUNTA NEGRA,,,,,1011.0,4.0,10.0,,,
479,2020-01-15,3,LIMA,RIMAC,,,,,1011.0,5.0,12.0,,,
480,2020-01-15,3,LIMA,SAN BARTOLO,,,,,1010.0,4.0,10.0,,,
481,2020-01-15,3,LIMA,SAN BORJA,,,,,1011.0,4.0,13.0,,,
482,2020-01-15,3,LIMA,SAN ISIDRO,,,,,1010.0,4.0,12.0,,,
483,2020-01-15,3,LIMA,SAN JUAN DE LURIGANCHO,,,,,1011.0,5.0,13.0,,,
484,2020-01-15,3,LIMA,SAN JUAN DE MIRAFLORES,,,,,1010.0,5.0,13.0,,,
485,2020-01-15,3,LIMA,SAN LUIS,,,,,1010.0,4.0,13.0,,,
486,2020-01-15,3,LIMA,SAN MARTIN DE PORRES,,,,,1010.0,5.0,11.0,,,
487,2020-01-15,3,LIMA,SAN MIGUEL,,,,,1010.0,4.0,11.0,,,
488,2020-01-15,3,LIMA,SANTA ANITA,,,,,1011.0,5.0,13.0,,,
489,2020-01-15,3,LIMA,SANTA MARIA DEL MAR,,,,,1011.0,3.0,10.0,,,
490,2020-01-15,3,LIMA,SANTA ROSA,,,,,1012.0,3.0,9.0,,,
491,2020-01-15,3,LIMA,SANTIAGO DE SURCO,,,,,1010.0,4.0,13.0,,,
492,2020-01-15,3,LIMA,SURQUILLO,,,,,1010.0,4.0,13.0,,,
493,2020-01-15,3,LIMA,VILLA EL SALVADOR,,,,,1010.0,4.0,12.0,,,
494,2020-01-15,3,LIMA,VILLA MARIA DEL TRIUNFO,,,,,1011.0,4.0,13.0,,,
544,2020-01-16,3,CALLAO,BELLAVISTA,Niebla,0.0,0.0,0.6,,,,19.0,23.0,20.0
545,2020-01-16,3,CALLAO,CALLAO,Niebla,0.0,0.0,0.7,,,,20.0,23.0,20.0
546,2020-01-16,3,CALLAO,CARMEN DE LA LEGUA REYNOSO,Niebla,0.0,0.0,0.4,,,,20.0,24.0,19.0
547,2020-01-16,3,CALLAO,LA PERLA,Niebla,0.0,0.0,0.1,,,,20.0,23.0,19.0
548,2020-01-16,3,CALLAO,LA PUNTA,Niebla,0.0,0.0,0.9,,,,20.0,23.0,19.0
549,2020-01-16,3,CALLAO,MI PERU,Despejado,0.0,0.0,0.0,,,,20.0,24.0,18.0
550,2020-01-16,3,CALLAO,VENTANILLA,Despejado,0.0,0.0,0.3,,,,20.0,24.0,19.0
630,2020-01-16,3,LIMA,ANCON,Niebla,0.0,0.0,0.3,,,,19.25,26.0,19.0
631,2020-01-16,3,LIMA,ATE,Despejado,0.0,0.0,0.4,,,,20.0,25.0,19.0
632,2020-01-16,3,LIMA,BARRANCO,Despejado,0.0,0.0,0.4,,,,20.25,23.0,19.0
633,2020-01-16,3,LIMA,BREÑA,Despejado,0.0,0.0,,,,,20.0,24.0,19.0
634,2020-01-16,3,LIMA,CARABAYLLO,Despejado,0.0,0.0,0.3,,,,18.0,24.0,18.0
635,2020-01-16,3,LIMA,CHACLACAYO,Despejado,0.0,0.0,0.7,,,,18.0,24.0,18.0
636,2020-01-16,3,LIMA,CHORRILLOS,Despejado,0.0,0.0,0.3,,,,20.0,23.0,20.0
637,2020-01-16,3,LIMA,CIENEGUILLA,Despejado,0.0,0.0,0.7,,,,20.0,25.0,17.0
638,2020-01-16,3,LIMA,COMAS,Despejado,0.0,0.0,0.3,,,,20.0,25.0,19.0
639,2020-01-16,3,LIMA,EL AGUSTINO,Despejado,0.0,0.0,0.1,,,,20.0,25.0,18.0
640,2020-01-16,3,LIMA,INDEPENDENCIA,Despejado,0.0,0.0,0.0,,,,20.0,25.0,18.0
641,2020-01-16,3,LIMA,JESUS MARIA,Despejado,0.0,0.0,,,,,20.0,24.0,18.0
642,2020-01-16,3,LIMA,LA MOLINA,Despejado,0.0,0.0,0.3,,,,20.0,25.0,18.0
643,2020-01-16,3,LIMA,LA VICTORIA,Despejado,0.0,0.0,,,,,20.0,25.0,19.0
644,2020-01-16,3,LIMA,LIMA,Despejado,0.0,0.0,0.4,,,,19.0,24.0,18.0
645,2020-01-16,3,LIMA,LINCE,Despejado,0.0,0.0,0.4,,,,20.0,24.0,19.0
646,2020-01-16,3,LIMA,LOS OLIVOS,Despejado,0.0,0.0,0.4,,,,20.0,24.0,19.0
647,2020-01-16,3,LIMA,LURIGANCHO,Despejado,0.0,0.0,,,,,18.0,24.0,18.0
648,2020-01-16,3,LIMA,LURIN,Despejado,0.0,0.0,0.6,,,,20.0,24.0,18.0
649,2020-01-16,3,LIMA,MAGDALENA DEL MAR,Niebla,0.0,0.0,,,,,20.0,23.0,18.0
650,2020-01-16,3,LIMA,MIRAFLORES,Despejado,0.0,0.0,0.95,,,,20.0,24.0,19.0
651,2020-01-16,3,LIMA,PACHACAMAC,Despejado,0.0,0.0,0.5,,,,20.0,25.0,18.0
652,2020-01-16,3,LIMA,PUCUSANA,Despejado,0.0,0.0,0.4,,,,20.0,23.0,20.0
653,2020-01-16,3,LIMA,PUEBLO LIBRE,Niebla,0.0,0.0,0.9,,,,20.0,24.0,19.0
654,2020-01-16,3,LIMA,PUENTE PIEDRA,Despejado,0.0,0.0,,,,,20.0,24.0,18.0
655,2020-01-16,3,LIMA,PUNTA HERMOSA,Despejado,0.0,0.0,0.7,,,,21.0,25.0,19.0
656,2020-01-16,3,LIMA,PUNTA NEGRA,Despejado,0.0,0.0,0.6,,,,20.0,25.0,18.0
657,2020-01-16,3,LIMA,RIMAC,Despejado,0.0,0.0,0.4,,,,20.0,25.0,18.0
658,2020-01-16,3,LIMA,SAN BARTOLO,Despejado,0.0,0.0,0.7,,,,21.0,25.0,20.0
659,2020-01-16,3,LIMA,SAN BORJA,Despejado,0.0,0.0,0.2,,,,20.0,24.0,19.0
660,2020-01-16,3,LIMA,SAN ISIDRO,Despejado,0.0,0.0,0.4,,,,20.0,24.0,19.0
661,2020-01-16,3,LIMA,SAN JUAN DE LURIGANCHO,Despejado,0.0,0.0,0.1,,,,20.0,26.0,17.0
662,2020-01-16,3,LIMA,SAN JUAN DE MIRAFLORES,Despejado,0.0,0.0,0.3,,,,20.0,24.0,20.0
663,2020-01-16,3,LIMA,SAN LUIS,Despejado,0.0,0.0,0.8,,,,22.0,25.0,19.0
664,2020-01-16,3,LIMA,SAN MARTIN DE PORRES,Despejado,0.0,0.0,0.4,,,,20.0,24.0,19.0
665,2020-01-16,3,LIMA,SAN MIGUEL,Niebla,0.0,0.0,0.4,,,,20.0,23.0,19.0
666,2020-01-16,3,LIMA,SANTA ANITA,Despejado,0.0,0.0,0.4,,,,20.0,25.0,18.0
667,2020-01-16,3,LIMA,SANTA MARIA DEL MAR,Despejado,0.0,0.0,0.6,,,,21.0,25.0,19.0
668,2020-01-16,3,LIMA,SANTA ROSA,Despejado,0.0,0.0,0.7,,,,20.0,24.0,17.0
669,2020-01-16,3,LIMA,SANTIAGO DE SURCO,Despejado,0.0,0.0,,,,,20.0,24.0,17.0
670,2020-01-16,3,LIMA,SURQUILLO,Despejado,0.0,0.0,,,,,20.0,24.0,18.0
671,2020-01-16,3,LIMA,VILLA EL SALVADOR,Despejado,0.0,0.0,0.6,,,,20.0,23.0,18.0
672,2020-01-16,3,LIMA,VILLA MARIA DEL TRIUNFO,Despejado,0.0,0.0,1.0,,,,20.0,24.0,18.0
722,2020-01-22,4,CALLAO,BELLAVISTA,,,,,1012.0,4.0,8.0,,,
723,2020-01-22,4,CALLAO,CALLAO,,,,,1012.0,5.0,8.0,,,
724,2020-01-22,4,CALLAO,CARMEN DE LA LEGUA REYNOSO,,,,,0.0,5.0,9.0,,,
725,2020-01-22,4,CALLAO,LA PERLA,,,,,1012.0,4.0,8.0,,,
726,2020-01-22,4,CALLAO,LA PUNTA,,,,,1012.0,4.0,7.0,,,
727,2020-01-22,4,CALLAO,MI PERU,,,,,1014.0,5.0,7.0,,,
728,2020-01-22,4,CALLAO,VENTANILLA,,,,,1014.0,5.0,7.0,,,
808,2020-01-22,4,LIMA,ANCON,,,,,1012.0,2.0,8.0,,,
809,2020-01-22,4,LIMA,ATE,,,,,1015.0,2.0,9.0,,,
810,2020-01-22,4,LIMA,BARRANCO,,,,,1013.0,5.0,9.0,,,
811,2020-01-22,4,LIMA,BREÑA,,,,,1013.0,5.0,10.0,,,
812,2020-01-22,4,LIMA,CARABAYLLO,,,,,1014.0,0.0,10.0,,,
813,2020-01-22,4,LIMA,CHACLACAYO,,,,,1015.0,2.0,8.0,,,
814,2020-01-22,4,LIMA,CHORRILLOS,,,,,1012.0,6.0,9.0,,,
815,2020-01-22,4,LIMA,CIENEGUILLA,,,,,1014.0,2.0,8.0,,,
816,2020-01-22,4,LIMA,COMAS,,,,,1014.0,3.0,10.0,,,
817,2020-01-22,4,LIMA,EL AGUSTINO,,,,,1014.0,4.0,11.0,,,
818,2020-01-22,4,LIMA,INDEPENDENCIA,,,,,1013.0,4.0,10.0,,,
819,2020-01-22,4,LIMA,JESUS MARIA,,,,,,5.0,9.0,,,
820,2020-01-22,4,LIMA,LA MOLINA,,,,,1013.0,3.0,9.0,,,
821,2020-01-22,4,LIMA,LA VICTORIA,,,,,1013.0,5.0,10.0,,,
822,2020-01-22,4,LIMA,LIMA,,,,,1013.0,4.0,10.0,,,
823,2020-01-22,4,LIMA,LINCE,,,,,1013.0,5.0,10.0,,,
824,2020-01-22,4,LIMA,LOS OLIVOS,,,,,1012.0,4.0,9.0,,,
825,2020-01-22,4,LIMA,LURIGANCHO,,,,,1016.0,3.0,9.0,,,
826,2020-01-22,4,LIMA,LURIN,,,,,1016.0,2.0,8.0,,,
827,2020-01-22,4,LIMA,MAGDALENA DEL MAR,,,,,1012.0,5.0,9.0,,,
828,2020-01-22,4,LIMA,MIRAFLORES,,,,,1012.0,5.0,9.0,,,
829,2020-01-22,4,LIMA,PACHACAMAC,,,,,1016.0,2.0,8.0,,,
830,2020-01-22,4,LIMA,PUCUSANA,,,,,1015.0,1.0,7.0,,,
831,2020-01-22,4,LIMA,PUEBLO LIBRE,,,,,1015.0,5.0,9.0,,,
832,2020-01-22,4,LIMA,PUENTE PIEDRA,,,,,1012.0,4.0,8.0,,,
833,2020-01-22,4,LIMA,PUNTA HERMOSA,,,,,1016.0,0.0,9.0,,,
834,2020-01-22,4,LIMA,PUNTA NEGRA,,,,,1013.0,0.0,9.0,,,
835,2020-01-22,4,LIMA,RIMAC,,,,,1013.0,4.0,10.0,,,
836,2020-01-22,4,LIMA,SAN BARTOLO,,,,,1013.0,0.0,8.0,,,
837,2020-01-22,4,LIMA,SAN BORJA,,,,,1014.0,5.0,10.0,,,
838,2020-01-22,4,LIMA,SAN ISIDRO,,,,,1012.0,5.0,9.0,,,
839,2020-01-22,4,LIMA,SAN JUAN DE LURIGANCHO,,,,,1013.0,2.0,11.0,,,
840,2020-01-22,4,LIMA,SAN JUAN DE MIRAFLORES,,,,,1012.0,5.0,9.0,,,
841,2020-01-22,4,LIMA,SAN LUIS,,,,,1013.0,5.0,11.0,,,
842,2020-01-22,4,LIMA,SAN MARTIN DE PORRES,,,,,1012.0,5.0,9.0,,,
843,2020-01-22,4,LIMA,SAN MIGUEL,,,,,1014.0,4.0,8.0,,,
844,2020-01-22,4,LIMA,SANTA ANITA,,,,,1013.0,4.0,10.0,,,
